user_id,sessions,events,views,carts,purchases,revenue,first_seen,last_seen,segment
513168738,1,2,2,0,0,0.0,2019-11-01 01:28:44+00:00,2019-11-01 01:30:56+00:00,Browsers
513169269,2,2,2,0,0,0.0,2019-11-01 02:34:20+00:00,2019-11-01 02:41:45+00:00,Browsers
513170847,1,3,2,0,1,160.57,2019-11-01 01:29:28+00:00,2019-11-01 01:30:16+00:00,High-value users (purchasers)
513171922,2,3,3,0,0,0.0,2019-11-01 02:38:47+00:00,2019-11-01 02:42:25+00:00,Browsers
513172380,1,10,10,0,0,0.0,2019-11-01 00:01:32+00:00,2019-11-01 00:06:20+00:00,Browsers
513173306,1,3,3,0,0,0.0,2019-11-01 00:32:29+00:00,2019-11-01 00:34:14+00:00,Browsers
513176027,1,2,2,0,0,0.0,2019-11-01 02:21:57+00:00,2019-11-01 02:22:19+00:00,Browsers
513176254,1,31,31,0,0,0.0,2019-11-01 02:21:40+00:00,2019-11-01 02:44:36+00:00,Browsers
513176270,1,6,6,0,0,0.0,2019-11-01 02:29:08+00:00,2019-11-01 02:31:32+00:00,Browsers
513176431,2,12,12,0,0,0.0,2019-11-01 00:39:46+00:00,2019-11-01 01:57:11+00:00,Browsers
513177546,1,12,12,0,0,0.0,2019-11-01 02:14:15+00:00,2019-11-01 02:48:07+00:00,Browsers
513178116,1,11,11,0,0,0.0,2019-11-01 02:41:13+00:00,2019-11-01 02:48:10+00:00,Browsers
513183642,1,6,6,0,0,0.0,2019-11-01 01:34:52+00:00,2019-11-01 01:38:20+00:00,Browsers
513183843,1,7,7,0,0,0.0,2019-11-01 02:23:09+00:00,2019-11-01 02:28:18+00:00,Browsers
513184528,1,47,47,0,0,0.0,2019-11-01 01:39:20+00:00,2019-11-01 02:13:34+00:00,Browsers
513185184,1,3,3,0,0,0.0,2019-11-01 01:23:58+00:00,2019-11-01 01:27:11+00:00,Browsers
513186875,1,5,5,0,0,0.0,2019-11-01 01:28:22+00:00,2019-11-01 01:30:02+00:00,Browsers
